frameNo: 2 | Accumulated: 0MouseOnly?7760677538033
frameNo: 2 | Accumulated: 0MouseOnly?7760677565458
frameNo: 2 | Accumulated: 0MouseOnly?7760677592838
frameNo: 2 | Accumulated: 0MouseOnly?7760677619538
frameNo: 2 | Accumulated: 0MouseOnly?7760677621852
frameNo: 2 | Accumulated: 0MouseOnly?7760677630455
frameNo: 2 | Accumulated: 0MouseOnly?7760677646891
frameNo: 2 | Accumulated: 0MouseOnly?7760677674273
frameNo: 2 | Accumulated: 0MouseOnly?7760677701724
frameNo: 2 | Accumulated: 0MouseOnly?7760677728938
frameNo: 2 | Accumulated: 0MouseOnly?7760677756191
frameNo: 2 | Accumulated: 0MouseOnly?7760677783199
frameNo: 2 | Accumulated: 0MouseOnly?7760677810470
frameNo: 2 | Accumulated: 0MouseOnly?7760677837797
frameNo: 2 | Accumulated: 0MouseOnly?7760677865194
frameNo: 2 | Accumulated: 0MouseOnly?7760677892502
frameNo: 2 | Accumulated: 0MouseOnly?7760677920215
frameNo: 2 | Accumulated: 0MouseOnly?7760677947191
frameNo: 2 | Accumulated: 0MouseOnly?7760677974244
frameNo: 2 | Accumulated: 0MouseOnly?7760678001606
frameNo: 2 | Accumulated: 0MouseOnly?7760678029160
frameNo: 2 | Accumulated: 0MouseOnly?7760678056311
frameNo: 2 | Accumulated: 0MouseOnly?7760678083494
frameNo: 2 | Accumulated: 0MouseOnly?7760678110862
frameNo: 2 | Accumulated: 0MouseOnly?7760678137924
frameNo: 2 | Accumulated: 0MouseOnly?7760678165358
frameNo: 2 | Accumulated: 0MouseOnly?7760678192805
frameNo: 2 | Accumulated: 0MouseOnly?7760678220132
frameNo: 2 | Accumulated: 0MouseOnly?7760678247199
frameNo: 2 | Accumulated: 0MouseOnly?7760678274468
frameNo: 2 | Accumulated: 0MouseOnly?7760678302557
frameNo: 2 | Accumulated: 0MouseOnly?7760678329021
frameNo: 2 | Accumulated: 0MouseOnly?7760678356503
frameNo: 2 | Accumulated: 0MouseOnly?7760678383906
frameNo: 2 | Accumulated: 0MouseOnly?7760678411148
frameNo: 2 | Accumulated: 0MouseOnly?7760678438206
